,BookingID,LeadTimeInterval,ArrivalYear,ArrivalMonth,ArrivalDate,NumWeekendNights,NumWeekNights,MealPlan,Parking,RoomType,NumAdults,NumChildren,MarketSegment,RepeatedGuest,NumPrevCancellations,NumPreviousNonCancelled,AvgRoomPrice,SpecialRequests,BookingStatus
0,29020,5,2018,5,20,0,2,Meal Plan 1,0,0,2,0,0,0,0,0,100.0,0,Not_Canceled
1,29021,3,2018,7,6,0,4,Meal Plan 1,0,0,3,0,1,0,0,0,96.9,1,Canceled
2,29022,0,2018,11,26,2,1,Not Selected,0,0,2,0,0,0,0,0,88.0,0,Canceled
3,29023,6,2018,6,15,0,2,Meal Plan 2,0,0,2,0,0,0,0,0,115.0,1,Not_Canceled
4,29024,3,2018,11,25,0,1,Meal Plan 1,0,0,1,0,2,0,0,0,67.0,0,Canceled
5,29025,0,2017,11,6,1,2,Meal Plan 1,0,0,1,0,0,0,0,0,37.33,0,Canceled
6,29026,1,2018,12,7,0,3,Meal Plan 1,0,1,0,2,0,0,0,0,82.44,1,Canceled
7,29027,0,2018,6,19,2,1,Meal Plan 1,0,0,1,0,0,0,0,0,81.0,0,Canceled
8,29028,0,2018,6,21,0,2,Meal Plan 1,0,0,2,0,0,0,0,0,102.0,1,Canceled
9,29029,2,2018,4,10,2,1,Meal Plan 1,0,0,3,0,0,0,0,0,121.8,1,Not_Canceled
10,29030,1,2018,11,1,0,4,Not Selected,0,0,2,0,0,0,0,0,79.2,1,Canceled
11,29031,4,2018,4,22,2,2,Meal Plan 2,0,0,2,0,0,0,0,0,106.0,0,Not_Canceled
12,29032,0,2017,9,10,0,1,Meal Plan 1,0,0,1,0,3,0,0,0,0.0,1,Canceled
13,29033,0,2018,10,5,0,3,Meal Plan 1,0,2,2,0,0,0,0,0,157.5,2,Canceled
14,29034,6,2018,12,31,1,1,Meal Plan 1,0,2,3,0,0,0,0,0,121.5,0,Not_Canceled
15,29035,1,2018,3,4,1,2,Meal Plan 1,1,2,2,0,0,0,0,0,98.3,1,Canceled
16,29036,4,2018,6,15,0,2,Meal Plan 1,0,0,1,0,0,0,0,0,130.0,0,Not_Canceled
17,29037,2,2018,4,13,0,4,Meal Plan 1,0,0,2,0,0,0,0,0,90.95,1,Canceled
18,29038,4,2018,10,23,1,0,Not Selected,0,0,2,0,0,0,0,0,85.5,2,Canceled
19,29039,0,2018,6,30,2,3,Meal Plan 1,0,0,2,0,0,0,0,0,117.9,1,Canceled
20,29040,3,2018,8,13,2,2,Meal Plan 1,1,2,3,0,0,0,0,0,155.7,1,Not_Canceled
21,29041,1,2018,4,24,2,0,Meal Plan 1,0,2,3,0,0,0,0,0,133.2,2,Canceled
22,29042,0,2018,3,30,0,2,Meal Plan 1,0,0,2,0,1,0,0,0,85.5,0,Canceled
23,29043,0,2018,10,20,0,2,Not Selected,0,0,2,0,0,0,0,0,135.0,2,Canceled
24,29044,0,2017,10,9,0,1,Meal Plan 1,0,2,2,0,0,0,0,0,155.0,2,Canceled
25,29045,0,2018,4,15,2,4,Meal Plan 1,0,2,3,0,0,0,0,0,142.72,0,Not_Canceled
26,29046,0,2018,5,9,1,2,Meal Plan 1,0,0,1,0,1,0,0,0,90.0,0,Canceled
27,29047,0,2018,3,28,1,0,Meal Plan 1,0,0,2,0,0,0,0,0,117.9,1,Canceled
28,29048,2,2018,5,4,0,4,Not Selected,0,0,2,0,0,0,0,0,101.58,1,Canceled
29,29049,6,2018,9,19,1,2,Meal Plan 1,0,0,2,0,0,0,0,0,110.0,0,Not_Canceled
30,29050,4,2018,8,22,1,5,Meal Plan 1,0,0,2,0,0,0,0,0,99.45,0,Not_Canceled
31,29051,6,2018,5,13,1,2,Meal Plan 1,0,0,2,0,0,0,0,0,95.0,0,Not_Canceled
32,29052,2,2018,5,2,1,3,Meal Plan 1,0,0,2,0,0,0,0,0,101.58,1,Not_Canceled
33,29053,0,2018,8,21,2,3,Meal Plan 1,0,0,2,0,1,0,0,0,85.0,0,Canceled
34,29054,0,2017,9,22,0,1,Meal Plan 1,0,0,2,0,0,0,0,0,145.0,2,Canceled
35,29055,4,2018,8,13,2,1,Meal Plan 1,0,0,3,0,0,0,0,0,106.03,1,Not_Canceled
36,29056,0,2018,12,5,1,1,Not Selected,0,0,1,0,0,0,0,0,88.0,0,Canceled
37,29057,1,2018,3,20,2,5,Meal Plan 1,0,2,2,1,0,0,0,0,86.32,1,Canceled
38,29058,8,2018,10,13,0,3,Meal Plan 1,0,0,2,0,1,0,0,0,90.0,1,Not_Canceled
39,29059,2,2017,8,22,2,5,Meal Plan 1,0,0,2,0,0,0,0,0,55.96,0,Not_Canceled
40,29060,0,2017,9,19,2,2,Meal Plan 1,0,3,1,2,0,0,0,0,200.75,2,Canceled
41,29061,0,2018,3,18,0,2,Meal Plan 1,0,0,2,1,0,0,0,0,127.0,1,Canceled
42,29062,0,2018,12,26,1,3,Meal Plan 1,0,0,2,0,0,0,0,0,102.0,0,Canceled
43,29063,0,2018,12,2,2,2,Not Selected,0,0,2,0,0,0,0,0,74.8,2,Canceled
44,29064,1,2018,6,16,2,4,Not Selected,0,0,2,0,0,0,0,0,120.6,0,Not_Canceled
45,29065,0,2018,2,8,1,0,Meal Plan 1,0,0,2,0,0,0,0,0,80.3,1,Canceled
46,29066,0,2017,11,9,1,3,Meal Plan 1,0,0,1,0,0,0,0,0,91.0,1,Canceled
47,29067,1,2017,10,2,2,3,Meal Plan 1,0,0,2,0,1,0,0,0,58.4,0,Canceled
48,29068,2,2017,10,16,0,2,Meal Plan 2,0,0,2,0,0,0,0,0,101.5,0,Not_Canceled
49,29069,1,2018,12,9,0,2,Meal Plan 1,0,2,3,0,0,0,0,0,126.0,2,Canceled
50,29070,4,2018,6,28,0,4,Not Selected,0,0,2,0,0,0,0,0,62.18,0,Not_Canceled
51,29071,2,2018,9,7,1,4,Meal Plan 1,0,0,1,0,0,0,0,0,118.8,0,Not_Canceled
52,29072,0,2018,8,10,0,2,Not Selected,1,0,2,0,0,0,0,0,167.0,0,Not_Canceled
53,29073,3,2017,8,8,1,1,Meal Plan 1,0,0,2,1,0,0,0,0,76.5,2,Canceled
54,29074,2,2018,4,3,2,1,Meal Plan 1,0,0,2,0,0,0,0,0,87.3,1,Canceled
55,29075,1,2017,9,4,0,1,Meal Plan 2,0,0,1,0,1,0,0,0,83.0,0,Canceled
56,29076,1,2018,1,2,2,1,Meal Plan 1,0,0,2,0,1,1,1,0,63.0,1,Canceled
57,29077,4,2018,10,28,1,2,Meal Plan 1,0,2,2,0,0,0,0,0,109.8,0,Not_Canceled
58,29078,2,2017,12,29,0,4,Meal Plan 1,0,2,2,0,1,0,0,0,60.5,0,Canceled
59,29079,2,2017,9,30,0,1,Meal Plan 2,0,0,2,0,1,0,0,0,112.2,0,Not_Canceled
60,29080,0,2018,8,1,1,3,Meal Plan 1,0,0,2,0,0,0,0,0,135.9,0,Not_Canceled
61,29081,3,2018,7,9,2,5,Meal Plan 1,0,0,2,0,0,0,0,0,103.09,0,Not_Canceled
62,29082,1,2018,6,24,0,2,Meal Plan 2,0,0,2,0,1,0,0,0,109.0,0,Canceled
63,29083,6,2018,6,17,0,2,Meal Plan 1,0,0,2,0,0,0,0,0,75.0,0,Not_Canceled
64,29084,6,2017,7,17,0,2,Meal Plan 2,0,0,2,0,0,0,0,0,109.0,0,Not_Canceled
65,29085,2,2017,7,25,2,1,Meal Plan 2,0,0,2,0,0,0,0,0,94.5,0,Not_Canceled
66,29086,3,2018,6,26,2,2,Meal Plan 1,0,2,2,0,0,0,0,0,103.7,1,Not_Canceled
67,29087,0,2018,7,5,2,6,Meal Plan 1,0,0,1,0,0,0,0,0,145.0,0,Not_Canceled
68,29088,0,2018,2,28,2,1,Meal Plan 1,0,0,1,0,0,0,0,0,60.0,0,Canceled
69,29089,1,2018,2,22,1,4,Meal Plan 1,0,0,3,0,0,0,0,0,78.85,1,Canceled
70,29090,0,2018,8,13,2,3,Meal Plan 2,0,0,2,0,0,0,0,0,170.1,2,Canceled
71,29091,9,2018,10,23,2,0,Meal Plan 2,0,0,2,0,0,0,0,0,115.0,1,Not_Canceled
72,29092,0,2017,12,29,0,5,Meal Plan 1,0,3,2,2,0,0,0,0,199.0,0,Not_Canceled
73,29093,2,2018,7,10,2,2,Meal Plan 1,0,2,2,0,1,0,0,0,82.45,0,Canceled
74,29094,0,2018,5,21,2,1,Meal Plan 1,0,0,2,0,1,0,0,0,95.0,0,Canceled
75,29095,3,2018,9,7,0,4,Meal Plan 1,0,0,2,0,0,0,0,0,136.0,2,Canceled
76,29096,2,2017,9,9,0,2,Meal Plan 1,0,0,2,0,0,0,0,0,89.25,1,Canceled
77,29097,0,2018,3,18,0,1,Not Selected,0,0,2,0,0,0,0,0,79.0,0,Canceled
78,29098,3,2018,12,26,1,3,Meal Plan 1,0,3,2,1,0,0,0,0,156.61,2,Canceled
79,29099,2,2018,8,3,0,3,Meal Plan 1,0,2,3,0,0,0,0,0,152.1,0,Not_Canceled
80,29100,1,2018,5,30,1,3,Meal Plan 1,0,0,2,0,0,0,0,0,119.85,1,Canceled
81,29101,0,2018,5,13,0,1,Not Selected,0,0,1,0,0,0,0,0,116.1,0,Canceled
82,29102,0,2018,6,27,1,0,Meal Plan 1,0,0,1,0,3,0,0,0,0.0,0,Canceled
83,29103,0,2018,4,5,0,1,Meal Plan 1,0,0,1,0,2,1,0,1,89.0,1,Canceled
